nombre,facilitador,eje,mesa,dia,horario,sala,keywords ,tipo,resumen,bio,confirmado
"ShuffleShuffle (No juegos, tocando códigos). Estrategias, técnicas y tecnologías para la performance audiovisual",Felipe Weason y Sean Moscoso,Arte y estética computacional,"Mesa 1: Presencia, objetualidad y re interpretación tecnologica",Sabado,11:00,subte,"videojuego, arte, interaccion, proceso",mesa,"Colectivo de arte medial (2019-2024) que cruza música algorítmica, videojuegos e improvisación. Presentarán una charla sobre sus procesos creativos/técnicos, incluyendo obras que exploran performance digital y realidad virtual.","Moscoso: Compositor, académico UChile, Magíster en Música. Investiga música algorítmica. Weason: Artista visual, Magíster en Artes Mediales. Trabaja con experimentación, crítica en videojuegos y performance digital.",
Herramientas para decir que no,Aarón Montoya,Arte y estética computacional,Mesa 2: Procesos tecnicos y derivas audiovisuales,Sabado,13:00,subte,"Glitch, no, python",mesa,"Charla sobre ""Vamos a seguir diciendo que no"", obra en progreso que manipula la campaña chilena del No (1989) usando scripts propios. Se mostrará código (Python) y herramientas open source para transcribir, trozar y glitchear material audiovisual con fines disruptivos.","Aarón Montoya: Profesor (UDP), doctorando (USACH) y artista digital. Trabaja con código y ruido, explorando la web bajo el alias montoyamoraga. Su obra está activa todo el año, excepto en febrero.",
¿Quién vigila al vigilante?,César Flores,Arte y estética computacional,Mesa 2: Procesos tecnicos y derivas audiovisuales,Sabado,13:00,subte,"vigilancia, tracking, opencv",mesa,"Demo de una instalación interactiva en Python que reflexiona sobre la vigilancia digital. Usa cámara y OpenCV para hacer tracking facial en vivo, asignando niveles de ""amenaza"" a los asistentes. Se mostrará el código y el proceso de construcción","César Flores [@txusillo]: Ingeniero de Software y Artista de Nuevos Medios. Integra arte y tecnología, creando obras interactivas. Explora la ambivalencia de la tecnología: su potencial liberador versus la vigilancia y el control.",
Cycle of lines Death Life,Giovanni Volta ,Arte y estética computacional,Mesa 2: Procesos tecnicos y derivas audiovisuales,Sabado,13:00,subte,"Audiovisual, musica, paisaje sonoro",mesa,"Propuesta audiovisual inmersiva que narra el ciclo de la vida. Una línea viaja a través de luz y paisajes sonoros, transformándose en figuras geométricas. Explora la coexistencia de opuestos (luz/oscuridad, vida/muerte) mediante teselación en el plano euclidiano.","Giovanni Volta: Músico, programador y artista visual. Creador del proyecto musical Seikatsu A/V, explora animación 3D, live coding y visuales audio-reactivos (JS/Python). Su música electrónica fusiona géneros como IDM, breakcore y cloud rap.",
" [53°9′50″ S, 70°55′2″ O /// 51°37′60″ S, 69°13′0″ O]_[207km]",HAVSTRACTO ,Arte y estética computacional,Mesa 2: Procesos tecnicos y derivas audiovisuales,Sabado,13:00,subte,"glitch, audiovisual, paisaje",mesa,"Obra audiovisual que transforma las ""Señales de humo"" (Patricia Viel) en glitches y distorsiones digitales. Explora la fragilidad de la comunicación en la era digital usando paisajes de Magallanes e IDM, como metáfora de lo efímero.","HAVSTRACTO (Chile, 1999) es un artista visual transdisciplinar de la Patagonia. Integra pintura, foto, video, sonido e IA. Su obra explora las tensiones humano-naturaleza, el extractivismo y el cambio climático, diluyendo límites entre lo físico y virtual",
Jardín Nacional,G10R,Arte y estética computacional,Mesa 2: Procesos tecnicos y derivas audiovisuales,Sabado,13:00,subte,"clima, visualizacion información, python",mesa,"Instalación interactiva, Jardín Nacional, visualiza datos climáticos chilenos (luz, temp., humedad) de capitales regionales. Usa un L-system para que cada ""planta"" digital crezca y mute en tiempo real, creando un ecosistema algorítmico sensible.","G10R: Artista visual e investigadora (UChile, Duoc UC). Su práctica cruza arte, ecología y tecnología, explorando sensibilidades no antropocéntricas con lenguajes generativos y sensores. Coordina el FabLab UA y codirige un proyecto sobre Mistral.",
Hardware abierto para las ciencias,Wladimir Araya,Ciencia y conocimiento,,Sabado,12:00,piso 1,-,charla,-,-,
"Ser ciborg en los albores del siglo XXI. Cuerpo, subjetividad y tecnologías digitales en la experiencia de usuarios crónicamente online en TikTok",Pablo Castillo,Ciencia y conocimiento,,Sabado,13:00,piso 1,"Cyborg, online, sociedad control",charla,"La digitalización crea una experiencia crónicamente online donde la vida es inseparable de plataformas. TikTok, como sociedad de control (Deleuze), modula la subjetividad mediante algoritmos y datos corporales. Somos ciborgs (Haraway) que habitan una existencia híbrida, exigiendo reflexión crítica sobre la redefinición de lo humano en la era digital.","Pablo Castillo: Sociólogo chileno (UAH) y magíster en CTS. Investiga la experiencia crónicamente online y cómo lo digital (TikTok, videojuegos) transforma la subjetividad y el cuerpo, desde la teoría ciborg. Dirige la revista Reflexión y Crítica.",
Del teclado a la asamblea: Cultura hacker desde lo virtual a lo material ,Hackerspace Santiago,"Política, ética y aceleracionismo",,Sabado,13:00,piso 2,"Hackerspace, cultura, activismo",charla,"Hackerspace Santiago (2023) es una org. autónoma de enseñanza y experimentación tecnopolítica. Presentarán su historia, dinámicas organizativas, actividades (en dos años), aprendizajes obtenidos y proyecciones, bajo la filosofía hacker y el software libre.","Hackerspace Santiago es un taller de trabajo colaborativo, un espacio fisico para el aprendizaje, la experimentacion y el compartir en comunidad, que nace en agosto del año 2023 con la finalidad de establecer un hackerspace en la capital de Santiago y poder dar continuidad a las actividades en torno al software libre y la cultura hacker.",
La capa 8 es el usuario,Irina Sidorowicz,Hacking y seguridad ofensiva,,Sabado,14:00,piso 2,"capa 8, OWASP, UX design",charla,"Charla sobre la Capa 8 (el usuario) y la ciberseguridad. Explora cómo el diseño UX es una defensa clave, analizando patrones que amplifican riesgos y buenas prácticas para prevenirlos. Se usará el OWASP Top 10 para integrar seguridad desde el diseño.","Diseñadora UX con +6 años en ciberseguridad, real estate, tech legal, farma y seguros. Se enfoca en la intersección UX/ciberseguridad, productos complejos y centrados en personas. Docente (UNLa), Lic. en Diseño y Esp. en Medios y Tecnologías Pictóricas.",
"Un cielo rojo. Imágenes, apropiación y desvío de técnicas en Latinoamérica",Cristóbal Parra,"Política, ética y aceleracionismo",,Sabado,15:00,piso 2,"Teoria de la imagen, latinoamerica",charla,"Propuesta que investiga cómo el lugar afecta la estética. Analiza imágenes técnicas de violencia/encierro estatal de génesis occidental en contextos latinoamericanos (ej. ""El cielo está rojo""). Busca reorientar esas tecnologías hacia fines creativos, críticos y situados.","Artista medial con formación en Derecho y Estética. Investiga los cruces políticos y territoriales en la tecnología de la imagen, usando modelado 3D, programación láser y generación procedimental. Reflexiona sobre el imaginario latinoamericano. Nombrado en ISEA, Ars Electronica y CIFO 2025.",
Hackeando DMARC,4nt1,Hacking y seguridad ofensiva,,Sabado,15:00,piso 1,"DMARC, hacking",charla,anti enseña como se hackea un dominio sin DMARC y como hacerse pasar por el gobierno ,"anti hackea desde los 3 añitos, comenzó a usar linux el 2020 y no se ha bajado de eso; actualmente hackea en varias empresas y es cofundador de su propia startup de seguridad ofensiva e infraestructura.",
Chile y la modernización del Estado de Vigilancia,Ignacio Maldonado,"Política, ética y aceleracionismo",,Sabado,17:00,piso 1,"sociedad, control, red",charla,"La sociedad hiperconectada borra la línea entre lo privado y lo público. El Estado moderniza su vigilancia, adaptando la ""inteligencia"" militar al aparato judicial para combatir al ""enemigo interno"". La represión política en Chile muestra cómo se explota esta dualidad: **la red nos vigila y el Estado vigila la red**.","Ingeniero eléctrico de profesión, integrante de MAR (Mov. Ant-Represivo)
Habito el lado técnico del activismo político.",
Applying cryptoanarchy in individual and communal sovereignty,Mario,"Política, ética y aceleracionismo",,Sabado,20:00,piso 2,-,charla,"Digital cages we locked ourselves into are very ironic outcome of hyperconnected technologies that should instead empower individuals and communities. Proprietary tech from corporations and surveillance from governments never been more pervasive and it's becoming impossible to deflect it's patterns of control. Another option is to refuse the captured system and opt out into the parallel one, embracing FOSS, decentralization and freedom. Let's explore technologies we can use as an actual tools without serving third parties, building independent community coordination and distributed systems that cannot be controlled. Join us to share your stack and tips on surviving without proprietary technologies, banks and big brothers. ","Ethereum Foundation researcher, founder of Bordel Hackerspace in Prague. A hacker active in decentralized systems, hardware and art (proofof.cat), embracing FOSS and living 5+ years unbanked. ",
Hacking the State: A Two-Front War for Hardware and Political Sovereignty,Aamir,"Política, ética y aceleracionismo",,Sabado,21:00,piso 2,-,charla,"Nuestra condición ""Crónicamente Online"" es política. Esta charla propone una guerra en dos frentes para reclamar el poder: 1) Política, incentivando la acción legislativa con tecnología de privacidad (ZK-proofs). 2) Hardware, logrando soberanía controlando la producción material, desde chips a desfibriladores (ej. think2earn).","Sociólogo rumano con formación en Política, Leyes y Psicología. Posee MSc en Info. Studies y Ciencia Forense (detección deepfake). Trabaja en deep tech para construir sistemas autónomos de soberanía política/material. Su proyecto think2earn ha ganado 10 premios.",
Using IoT devices as attack vectors,Prey,Hacking y seguridad ofensiva,,Sabado,16:00,subte,,charla,"This talk shares pratical steps and examples for building attack-capable ESP32 devices, we will also discuss about current firmwares for you to use on it",,
Real-life supply-chain attacks,Matías Lang ,Hacking y seguridad ofensiva,,Sabado,20:00,subte,"supply-chain attack, defensa, analisis de riesgos",charla,Charla sobre la creciente amenaza de los ataques de supply-chain en proyectos de software. Se analiza el riesgo de las dependencias de terceros (código malicioso/vulnerable) y la falta de soporte en el Software Libre. Se discutirán medidas de protección.,"Matías: Especialista en seguridad informática argentino y experto en code review. Disfruta los CTF y el software libre, al que contribuye. Usa y mantiene proyectos FOSS, desconfiando de soluciones propietarias.",
De cero a exploit: anatomía forense de un bug en Android,And3 (ZoqueLabs),Hacking y seguridad ofensiva,,Sabado,19:00,piso 2,,"taller, charla","Esta charla recorre el proceso completo de escribir un exploit para Android partiendo desde cero. No se trata solo del resultado final, sino de cómo entender el sistema, leer vulnerabilidades, montar entornos de prueba y sobrevivir al caos del debugging. A partir del artículo “Escribiendo un exploit para Android y un módulo para MVT”, veremos paso a paso cómo pasar de no saber nada sobre explotación a construir algo funcional, entendiendo qué ocurre “en las tripas” del sistema. Habrá demos, logs reales, fallos, y algunos wtf moments en el camino.","Investigador en seguridad y fundador de ZoqueLabs, un laboratorio de inteligencia de amenazas con raíces en América Latina. Ha trabajado en análisis forense, malware y monitoreo de redes en contextos de derechos humanos. Sus investigaciones combinan hacking, OSINT y análisis técnico profundo, con una mirada política y regional sobre la seguridad digital. Publica regularmente en zoquelabs.xyz sobre temas de explotación, spyware e inteligencia de amenazas.",
El presidente adicto a Twitter,Nulo ,Hacking y seguridad ofensiva,,Sabado,18:00,subte,"twiter, presidente, phishing",charla,"El proyecto surgió al criticar la adicción a Twitter del presidente Milei, preguntando: ¿cómo medirlo? Se creó un sitio web para analizar la inmensa actividad del mandatario en la red, convirtiéndose en un referente sobre lo que la actividad pública de los líderes revela de sus vidas.","Nulo es un programador argentino que cree que el internet es real.  Le interesa el análisis de datos públicos con fines políticos, y con ese fin armó milei.nulo.lol, failbondi.fail y otros proyectos dateros. ",
"Infraesteuctura ofensiva, guerra cognitiva y memes",mini,Hacking y seguridad ofensiva,,Sabado,18:00,piso 2,,charla,"Vamos a ver la infraesteuctura necesaria  para efectuar un ataque a un sistema de informacion utilizando,  tacticas tecnicas y procedimientos comunes  pero integrandolas con tacticas en cognitivewarfare asistidas por agentes de inteligencia artificial. Que es mito? Que es meme? Que es una buena herramienta ? Y q es un riesgo?", -,
